Name,Type,By,Anbefalt av,Besøkt dato,Lokasjon,Hjemmeside,KoblingKalender,🍷 Fått av drikke
Betong,Restaurant,Oslo,,,,https://www.restaurantbetong.no/,,
200,"Casual, Restaurant, Vinbar",Oslo,,,Sofienberg,,,
Grotto,"Fransk, Restaurant",Oslo,,,,,,
Stallen,Restaurant,Oslo,,,"Underhaugsveien 28 Stallbygning, 0354 Oslo",https://www.restaurantstallen.no/,,
"Aymara ",Restaurant,Oslo,,,Parkveien,https://aymara.no/,,
Statholdergaarden og Statholdergårdens kjeller,Restaurant,Oslo,,,"Rådhusgata 11, 0151 Oslo",statholdergaarden.no,,
Tri Ky,"Restaurant, Sushi",Oslo,,,"Vulkan 2, 0182 Oslo",triky.no,,
Corral’s,"Foodtruck, Taco",Oslo,,Sommer - feriestart,,,Sommer - feriestart (https://www.notion.so/Sommer-feriestart-0325a10e573f4164ae81f6d215da0100?pvs=21),"Kvestad 1808 sider (https://www.notion.so/Kvestad-1808-sider-6d6de08fde1a436d8c9eb47164835688?pvs=21), Homborsund Homborsuder Tørr (https://www.notion.so/Homborsund-Homborsuder-T-rr-70bd7064e3e8400ab1936a0d86b9ea14?pvs=21)"
Smag og behag,Restaurant,Kristiansand,Julies matblogg,Sommerdate - Kristiansand,"Dronningens gate 48a, 4608 Kristiansand",https://smag-behag.no/kristiansand/,Sommerdate - Kristiansand (https://www.notion.so/Sommerdate-Kristiansand-c7fea2f7b19c465ca9fb3b2ccd68979f?pvs=21),Sprudlande Harding (https://www.notion.so/Sprudlande-Harding-673539d375e8478f841eeb02d5e255b2?pvs=21)
Txotx,Restaurant,Oslo,,,"Trondheimsveien 2, 0560 Oslo",https://www.txotx.no/,,
Vesuvio,"Casual, Pizza",Oslo,,,"Bjerrgaardsgate 29 b, 0172 Oslo",https://www.vesuviocafe.no/,,
Vinoteket,"Pizza, Restaurant",Oslo,,,"Henrik Ibsens gate 60a, 0255 Oslo",vinoteket.no,,
Winter,"Kurs, Restaurant, Uteservering",,,,"Grundingen 3, 0250 Oslo",https://wintherakerbrygge.no/,,
Kolonihagen,"Lunsj, Restaurant, Uteservering",Oslo,,Kino-date,"Frognerveien 33, 0263 Oslo",kolonihagenfrogner.no,Kino-date (https://www.notion.so/Kino-date-632301cfc2e8441bb1da5564f6c3f1f7?pvs=21),
Ansjosen,"Italiensk, Restaurant, Uteservering",Oslo,,Vår-date,"Ullevålsveien 81, 0454 Oslo",https://www.ansjosen.no/,Vår-date (https://www.notion.so/V-r-date-b20e7cd048624e84a680ed1671f6b1a4?pvs=21),
Vélochef,"Brunsj, Lunsj, Restaurant, Uteservering",Oslo,,,,https://www.velochef.no/,,
Skaal matbar,"Brunsj, Casual, Restaurant, Uteservering",,,,,,,
Betong,Restaurant,,,,,https://www.restaurantbetong.com/,,
Code restaurant,"Brunsj, Restaurant",Oslo,,Jule-date,Dronning Eufemias gate 18,https://www.coderestaurant.no/,Jule-date (https://www.notion.so/Jule-date-ae3b2bbab54d4aa0abc5b7ab3214843a?pvs=21),
